,journal_title,article_title,contributors,year,doi
0,Remote Sensing of Environment,Remote Sensing of Environment,"['Jian Peng', 'Clement Albergel', 'Anna Balenzano', 'Luca Brocca', 'Oliver Cartus', 'Michael H. Cosh', 'Wade T. Crow', 'Katarzyna Dabrowska-Zielinska', 'Simon Dadson', 'Malcolm W.J. Davidson', 'Patricia de Rosnay', 'Wouter Dorigo', 'Alexander Gruber', 'Stefan Hagemann', 'Martin Hirschi', 'Yann H. Kerr', 'Francesco Lovergine', 'Miguel D. Mahecha', 'Philip Marzahn', 'Francesco Mattia', 'Jan Pawel Musial', 'Swantje Preuschmann', 'Rolf H. Reichle', 'Giuseppe Satalino', 'Martyn Silgram', 'Peter M. van Bodegom', 'Niko E.C. Verhoest', 'Wolfgang Wagner', 'Jeffrey P. Walker', 'Urs Wegmüller', 'Alexander Loew']",2021,10.1016/j.rse.2020.112162
1,Geography and Sustainability,Geography and Sustainability,"['Anping Chen', 'Rongyun Tang', 'Jiafu Mao', 'Chao Yue', 'Xiran Li', 'Mengdi Gao', 'Xiaoying Shi', 'Mingzhou Jin', 'Daniel Ricciuto', 'Sam Rabin', 'Phillippe Ciais', 'Shilong Piao']",2020,10.1016/j.geosus.2020.03.002
2,Nature Geoscience,Nature Geoscience,"['Ryan S. Padrón', 'Lukas Gudmundsson', 'Bertrand Decharme', 'Agnès Ducharne', 'David M. Lawrence', 'Jiafu Mao', 'Daniele Peano', 'Gerhard Krinner', 'Hyungjun Kim', 'Sonia I. Seneviratne']",2020,10.1038/s41561-020-0594-1
3,IOP Conference Series: Earth and Environmental Science,IOP Conference Series: Earth and Environmental Science,['G A Alexandrov'],2022,10.1088/1755-1315/1040/1/012029
4,Climate of the Past,Climate of the Past,"['Naoko Nagatsuka', 'Kumiko Goto-Azuma', 'Akane Tsushima', 'Koji Fujita', 'Sumito Matoba', 'Yukihiko Onuma', 'Remi Dallmayr', 'Moe Kadota', 'Motohiro Hirabayashi', 'Jun Ogata', 'Yoshimi Ogawa-Tsukagawa', 'Kyotaro Kitamura', 'Masahiro Minowa', 'Yuki Komuro', 'Hideaki Motoyama', 'Teruo Aoki']",2021,10.5194/cp-17-1341-2021
5,Journal of Hydrometeorology,Journal of Hydrometeorology,"['Tomoko Nitta', 'Kei Yoshimura', 'Ayako Abe-Ouchi']",2017,10.1175/JHM-D-16-0105.1
6,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Thorsten Mauritsen', 'Jürgen Bader', 'Tobias Becker', 'Jörg Behrens', 'Matthias Bittner', 'Renate Brokopf', 'Victor Brovkin', 'Martin Claussen', 'Traute Crueger', 'Monika Esch', 'Irina Fast', 'Stephanie Fiedler', 'Dagmar Fläschner', 'Veronika Gayler', 'Marco Giorgetta', 'Daniel S. Goll', 'Helmuth Haak', 'Stefan Hagemann', 'Christopher Hedemann', 'Cathy Hohenegger', 'Tatiana Ilyina', 'Thomas Jahns', 'Diego Jimenéz‐de‐la‐Cuesta', 'Johann Jungclaus', 'Thomas Kleinen', 'Silvia Kloster', 'Daniela Kracher', 'Stefan Kinne', 'Deike Kleberg', 'Gitta Lasslop', 'Luis Kornblueh', 'Jochem Marotzke', 'Daniela Matei', 'Katharina Meraner', 'Uwe Mikolajewicz', 'Kameswarrao Modali', 'Benjamin Möbis', 'Wolfgang A. Müller', 'Julia E. M. S. Nabel', 'Christine C. W. Nam', 'Dirk Notz', 'Sarah‐Sylvia Nyawira', 'Hanna Paulsen', 'Karsten Peters', 'Robert Pincus', 'Holger Pohlmann', 'Julia Pongratz', 'Max Popp', 'Thomas Jürgen Raddatz', 'Sebastian Rast', 'Rene Redler', 'Christian H. Reick', 'Tim Rohrschneider', 'Vera Schemann', 'Hauke Schmidt', 'Reiner Schnur', 'Uwe Schulzweida', 'Katharina D. Six', 'Lukas Stein', 'Irene Stemmler', 'Bjorn Stevens', 'Jin‐Song Storch', 'Fangxing Tian', 'Aiko Voigt', 'Philipp Vrese', 'Karl‐Hermann Wieners', 'Stiig Wilkenskjeld', 'Alexander Winkler', 'Erich Roeckner']",2019,10.1029/2018MS001400
7,Hydrology and Earth System Sciences,Hydrology and Earth System Sciences,"['Eunsang Cho', 'Carrie M. Vuyovich', 'Sujay V. Kumar', 'Melissa L. Wrzesien', 'Rhae Sung Kim', 'Jennifer M. Jacobs']",2022,10.5194/hess-26-5721-2022
8,The Cryosphere,The Cryosphere,"['Martin Beniston', 'Daniel Farinotti', 'Markus Stoffel', 'Liss M. Andreassen', 'Erika Coppola', 'Nicolas Eckert', 'Adriano Fantini', 'Florie Giacona', 'Christian Hauck', 'Matthias Huss', 'Hendrik Huwald', 'Michael Lehning', 'Juan-Ignacio López-Moreno', 'Jan Magnusson', 'Christoph Marty', 'Enrique Morán-Tejéda', 'Samuel Morin', 'Mohamed Naaim', 'Antonello Provenzale', 'Antoine Rabatel', 'Delphine Six', 'Johann Stötter', 'Ulrich Strasser', 'Silvia Terzago', 'Christian Vincent']",2018,10.5194/tc-12-759-2018
9,Water Resources Research,Water Resources Research,"['Whitney L. Forbes', 'Jiafu Mao', 'Daniel M. Ricciuto', 'Shih‐Chieh Kao', 'Xiaoying Shi', 'Ahmad A. Tavakoly', 'Mingzhou Jin', 'Weidong Guo', 'Tianbao Zhao', 'Yutao Wang', 'Peter E. Thornton', 'Forrest M. Hoffman']",2019,10.1029/2018WR024256
10,Weather and Climate Extremes,Weather and Climate Extremes,"['Jana Sillmann', 'Thordis Thorarinsdottir', 'Noel Keenlyside', 'Nathalie Schaller', 'Lisa V. Alexander', 'Gabriele Hegerl', 'Sonia I. Seneviratne', 'Robert Vautard', 'Xuebin Zhang', 'Francis W. Zwiers']",2017,10.1016/j.wace.2017.10.003
11,Geoscientific Model Development,Geoscientific Model Development,"['Masa Kageyama', 'Samuel Albani', 'Pascale Braconnot', 'Sandy P. Harrison', 'Peter O. Hopcroft', 'Ruza F. Ivanovic', 'Fabrice Lambert', 'Olivier Marti', 'W. Richard Peltier', 'Jean-Yves Peterschmitt', 'Didier M. Roche', 'Lev Tarasov', 'Xu Zhang', 'Esther C. Brady', 'Alan M. Haywood', 'Allegra N. LeGrande', 'Daniel J. Lunt', 'Natalie M. Mahowald', 'Uwe Mikolajewicz', 'Kerim H. Nisancioglu', 'Bette L. Otto-Bliesner', 'Hans Renssen', 'Robert A. Tomas', 'Qiong Zhang', 'Ayako Abe-Ouchi', 'Patrick J. Bartlein', 'Jian Cao', 'Qiang Li', 'Gerrit Lohmann', 'Rumi Ohgaito', 'Xiaoxu Shi', 'Evgeny Volodin', 'Kohei Yoshida', 'Xiao Zhang', 'Weipeng Zheng']",2017,10.5194/gmd-10-4035-2017
12,Geoscientific Model Development,Geoscientific Model Development,"['Martin Juckes', 'Karl E. Taylor', 'Paul J. Durack', 'Bryan Lawrence', 'Matthew S. Mizielinski', 'Alison Pamment', 'Jean-Yves Peterschmitt', 'Michel Rixen', 'Stéphane Sénési']",2020,10.5194/gmd-13-201-2020
13,Geoscientific Model Development,Geoscientific Model Development,"['Sandy P. Harrison', 'Marie-José Gaillard', 'Benjamin D. Stocker', 'Marc Vander Linden', 'Kees Klein Goldewijk', 'Oliver Boles', 'Pascale Braconnot', 'Andria Dawson', 'Etienne Fluet-Chouinard', 'Jed O. Kaplan', 'Thomas Kastner', 'Francesco S. R. Pausata', 'Erick Robinson', 'Nicki J. Whitehouse', 'Marco Madella', 'Kathleen D. Morrison']",2020,10.5194/gmd-13-805-2020
14,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['David M. Lawrence', 'Rosie A. Fisher', 'Charles D. Koven', 'Keith W. Oleson', 'Sean C. Swenson', 'Gordon Bonan', 'Nathan Collier', 'Bardan Ghimire', 'Leo van Kampenhout', 'Daniel Kennedy', 'Erik Kluzek', 'Peter J. Lawrence', 'Fang Li', 'Hongyi Li', 'Danica Lombardozzi', 'William J. Riley', 'William J. Sacks', 'Mingjie Shi', 'Mariana Vertenstein', 'William R. Wieder', 'Chonggang Xu', 'Ashehad A. Ali', 'Andrew M. Badger', 'Gautam Bisht', 'Michiel van den Broeke', 'Michael A. Brunke', 'Sean P. Burns', 'Jonathan Buzan', 'Martyn Clark', 'Anthony Craig', 'Kyla Dahlin', 'Beth Drewniak', 'Joshua B. Fisher', 'Mark Flanner', 'Andrew M. Fox', 'Pierre Gentine', 'Forrest Hoffman', 'Gretchen Keppel‐Aleks', 'Ryan Knox', 'Sanjiv Kumar', 'Jan Lenaerts', 'L. Ruby Leung', 'William H. Lipscomb', 'Yaqiong Lu', 'Ashutosh Pandey', 'Jon D. Pelletier', 'Justin Perket', 'James T. Randerson', 'Daniel M. Ricciuto', 'Benjamin M. Sanderson', 'Andrew Slater', 'Zachary M. Subin', 'Jinyun Tang', 'R. Quinn Thomas', 'Maria Val Martin', 'Xubin Zeng']",2019,10.1029/2018MS001583
15,Nature Communications,Nature Communications,"['Jacob Schewe', 'Simon N. Gosling', 'Christopher Reyer', 'Fang Zhao', 'Philippe Ciais', 'Joshua Elliott', 'Louis Francois', 'Veronika Huber', 'Heike K. Lotze', 'Sonia I. Seneviratne', 'Michelle T. H. van Vliet', 'Robert Vautard', 'Yoshihide Wada', 'Lutz Breuer', 'Matthias Büchner', 'David A. Carozza', 'Jinfeng Chang', 'Marta Coll', 'Delphine Deryng', 'Allard de Wit', 'Tyler D. Eddy', 'Christian Folberth', 'Katja Frieler', 'Andrew D. Friend', 'Dieter Gerten', 'Lukas Gudmundsson', 'Naota Hanasaki', 'Akihiko Ito', 'Nikolay Khabarov', 'Hyungjun Kim', 'Peter Lawrence', 'Catherine Morfopoulos', 'Christoph Müller', 'Hannes Müller Schmied', 'René Orth', 'Sebastian Ostberg', 'Yadu Pokhrel', 'Thomas A. M. Pugh', 'Gen Sakurai', 'Yusuke Satoh', 'Erwin Schmid', 'Tobias Stacke', 'Jeroen Steenbeek', 'Jörg Steinkamp', 'Qiuhong Tang', 'Hanqin Tian', 'Derek P. Tittensor', 'Jan Volkholz', 'Xuhui Wang', 'Lila Warszawski']",2019,10.1038/s41467-019-08745-6
16,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Xiaogang Ma', 'Lei Tian', 'Yaozhi Jiang', 'Jiguang Liang', 'Jiaxin Tian', 'Jianhong Zhou', 'Changkun Shao', 'Kun Yang']",2023,10.1029/2022JD037615
17,Earth System Dynamics,Earth System Dynamics,"['Longhuan Wang', 'Zhenghui Xie', 'Binghao Jia', 'Jinbo Xie', 'Yan Wang', 'Bin Liu', 'Ruichao Li', 'Si Chen']",2019,10.5194/esd-10-599-2019
18,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,"['Alexander R. Gottlieb', 'Justin S. Mankin']",2022,10.1175/BAMS-D-20-0243.1
