,journal_title,article_title,contributors,year,doi
0,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology,"['P. Moffa‐Sánchez', 'E. Moreno‐Chamarro', 'D. J. Reynolds', 'P. Ortega', 'L. Cunningham', 'D. Swingedouw', 'D. E. Amrhein', 'J. Halfar', 'L. Jonkers', 'J. H. Jungclaus', 'K. Perner', 'A. Wanamaker', 'S. Yeager']",2019,10.1029/2018PA003508
1,Geoscientific Model Development,Geoscientific Model Development,"['Ralf Döscher', 'Mario Acosta', 'Andrea Alessandri', 'Peter Anthoni', 'Thomas Arsouze', 'Tommi Bergman', 'Raffaele Bernardello', 'Souhail Boussetta', 'Louis-Philippe Caron', 'Glenn Carver', 'Miguel Castrillo', 'Franco Catalano', 'Ivana Cvijanovic', 'Paolo Davini', 'Evelien Dekker', 'Francisco J. Doblas-Reyes', 'David Docquier', 'Pablo Echevarria', 'Uwe Fladrich', 'Ramon Fuentes-Franco', 'Matthias Gröger', 'Jost v. Hardenberg', 'Jenny Hieronymus', 'M. Pasha Karami', 'Jukka-Pekka Keskinen', 'Torben Koenigk', 'Risto Makkonen', 'François Massonnet', 'Martin Ménégoz', 'Paul A. Miller', 'Eduardo Moreno-Chamarro', 'Lars Nieradzik', 'Twan van Noije', 'Paul Nolan', ""Declan O'Donnell"", 'Pirkka Ollinaho', 'Gijs van den Oord', 'Pablo Ortega', 'Oriol Tintó Prims', 'Arthur Ramos', 'Thomas Reerink', 'Clement Rousset', 'Yohan Ruprich-Robert', 'Philippe Le Sager', 'Torben Schmith', 'Roland Schrödner', 'Federico Serva', 'Valentina Sicardi', 'Marianne Sloth Madsen', 'Benjamin Smith', 'Tian Tian', 'Etienne Tourigny', 'Petteri Uotila', 'Martin Vancoppenolle', 'Shiyu Wang', 'David Wårlind', 'Ulrika Willén', 'Klaus Wyser', 'Shuting Yang', 'Xavier Yepes-Arbós', 'Qiong Zhang']",2022,10.5194/gmd-15-2973-2022
2,Climate of the Past,Climate of the Past,"['Charles J. R. Williams', 'Maria-Vittoria Guarino', 'Emilie Capron', 'Irene Malmierca-Vallet', 'Joy S. Singarayer', 'Louise C. Sime', 'Daniel J. Lunt', 'Paul J. Valdes']",2020,10.5194/cp-16-1429-2020
3,Climate of the Past,Climate of the Past,"['Janica C. Bühler', 'Carla Roesch', 'Moritz Kirschner', 'Louise Sime', 'Max D. Holloway', 'Kira Rehfeld']",2021,10.5194/cp-17-985-2021
4,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology,"['William R. Gray', 'Casimir de Lavergne', 'Robert C. Jnglin Wills', 'Laurie Menviel', 'Paul Spence', 'Mark Holzer', 'Masa Kageyama', 'Elisabeth Michel']",2023,10.1029/2023PA004666
5,Geophysical Research Letters,Geophysical Research Letters,"['Jie Chen', 'Qiong Zhang', 'Erik Kjellström', 'Zhengyao Lu', 'Fahu Chen']",2022,10.1029/2022GL098816
6,Climate of the Past,Climate of the Past,"['Oliver Bothe', 'Eduardo Zorita']",2021,10.5194/cp-17-721-2021
7,Geoscientific Model Development,Geoscientific Model Development,"['Martin Juckes', 'Karl E. Taylor', 'Paul J. Durack', 'Bryan Lawrence', 'Matthew S. Mizielinski', 'Alison Pamment', 'Jean-Yves Peterschmitt', 'Michel Rixen', 'Stéphane Sénési']",2020,10.5194/gmd-13-201-2020
8,Climate of the Past,Climate of the Past,"['Laia Comas-Bru', 'Sandy P. Harrison', 'Martin Werner', 'Kira Rehfeld', 'Nick Scroxton', 'Cristina Veiga-Pires']",2019,10.5194/cp-15-1557-2019
9,Quaternary Science Reviews,Quaternary Science Reviews,"['Zoë A. Thomas', 'Richard T. Jones', 'Chris S.M. Turney', 'Nicholas Golledge', 'Christopher Fogwill', 'Corey J.A. Bradshaw', 'Laurie Menviel', 'Nicholas P. McKay', 'Michael Bird', 'Jonathan Palmer', 'Peter Kershaw', 'Janet Wilmshurst', 'Raimund Muscheler']",2020,10.1016/j.quascirev.2020.106222
10,Nature Geoscience,Nature Geoscience,"['Michela Biasutti', 'Aiko Voigt', 'William R. Boos', 'Pascale Braconnot', 'Julia C. Hargreaves', 'Sandy P. Harrison', 'Sarah M. Kang', 'Brian E. Mapes', 'Jacob Scheff', 'Courtney Schumacher', 'Adam H. Sobel', 'Shang-Ping Xie']",2018,10.1038/s41561-018-0137-1
11,Earth Systems and Environment,Earth Systems and Environment,"['A. M. Haywood', 'P. J. Valdes', 'T. Aze', 'N. Barlow', 'A. Burke', 'A. M. Dolan', 'A. S. von der Heydt', 'D. J. Hill', 'S. S. R. Jamieson', 'B. L. Otto-Bliesner', 'U. Salzmann', 'E. Saupe', 'J. Voss']",2019,10.1007/s41748-019-00093-1
12,Frontiers in Earth Science,Frontiers in Earth Science,"['Meng-Er Song', 'Lin Chen']",2022,10.3389/feart.2022.853577
13,Environmental Research: Climate,Environmental Research: Climate,"['Anhelina Zapolska', 'Mathieu Vrac', 'Aurélien Quiquet', 'Thomas Extier', 'Frank Arthur', 'Hans Renssen', 'Didier M Roche']",2023,10.1088/2752-5295/accbe2
14,Geoscientific Model Development,Geoscientific Model Development,"['Qiong Zhang', 'Ellen Berntell', 'Josefine Axelsson', 'Jie Chen', 'Zixuan Han', 'Wesley de Nooijer', 'Zhengyao Lu', 'Qiang Li', 'Qiang Zhang', 'Klaus Wyser', 'Shuting Yang']",2021,10.5194/gmd-14-1147-2021
15,Annals of the New York Academy of Sciences,Annals of the New York Academy of Sciences,"['Patrick Ludwig', 'Juan J. Gómez-Navarro', 'Joaquim G. Pinto', 'Christoph C. Raible', 'Sebastian Wagner', 'Eduardo Zorita']",2019,10.1111/nyas.13865
16,Journal of Southern Hemisphere Earth Systems Science,Journal of Southern Hemisphere Earth Systems Science,"['Tilo Ziehn', 'Matthew A. Chamberlain', 'Rachel M. Law', 'Andrew Lenton', 'Roger W. Bodman', 'Martin Dix', 'Lauren Stevens', 'Ying-Ping Wang', 'Jhan Srbinovsky']",2020,10.1071/ES19035
17,Geoscientific Model Development,Geoscientific Model Development,"['Sandy P. Harrison', 'Marie-José Gaillard', 'Benjamin D. Stocker', 'Marc Vander Linden', 'Kees Klein Goldewijk', 'Oliver Boles', 'Pascale Braconnot', 'Andria Dawson', 'Etienne Fluet-Chouinard', 'Jed O. Kaplan', 'Thomas Kastner', 'Francesco S. R. Pausata', 'Erick Robinson', 'Nicki J. Whitehouse', 'Marco Madella', 'Kathleen D. Morrison']",2020,10.5194/gmd-13-805-2020
18,Climate of the Past,Climate of the Past,"['Pascale Braconnot', 'Dan Zhu', 'Olivier Marti', 'Jérôme Servonnat']",2019,10.5194/cp-15-997-2019
19,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology,"['Sylvia G. Dee', 'James M. Russell', 'Carrie Morrill', 'Zihan Chen', 'Ashling Neary']",2018,10.1029/2018PA003413
20,Quaternary Science Reviews,Quaternary Science Reviews,"['Denis-Didier Rousseau', 'Pierre Antoine', 'Youbin Sun']",2021,10.1016/j.quascirev.2020.106775
21,Geoscientific Model Development,Geoscientific Model Development,"['Camelia-Eliza Telteu', 'Hannes Müller Schmied', 'Wim Thiery', 'Guoyong Leng', 'Peter Burek', 'Xingcai Liu', 'Julien Eric Stanislas Boulange', 'Lauren Seaby Andersen', 'Manolis Grillakis', 'Simon Newland Gosling', 'Yusuke Satoh', 'Oldrich Rakovec', 'Tobias Stacke', 'Jinfeng Chang', 'Niko Wanders', 'Harsh Lovekumar Shah', 'Tim Trautmann', 'Ganquan Mao', 'Naota Hanasaki', 'Aristeidis Koutroulis', 'Yadu Pokhrel', 'Luis Samaniego', 'Yoshihide Wada', 'Vimal Mishra', 'Junguo Liu', 'Petra Döll', 'Fang Zhao', 'Anne Gädeke', 'Sam S. Rabin', 'Florian Herz']",2021,10.5194/gmd-14-3843-2021
22,Climate of the Past,Climate of the Past,"['Maria Vittoria Guarino', 'Louise C. Sime', 'Rachel Diamond', 'Jeff Ridley', 'David Schroeder']",2023,10.5194/cp-19-865-2023
23,Global and Planetary Change,Global and Planetary Change,"['R.A. Nascimento', 'M.H. Shimizu', 'I.M. Venancio', 'C.M. Chiessi', 'H. Kuhnert', 'H.J.H. Johnstone', 'A. Govin', 'D. Lessa', 'J.M. Ballalai', 'T.P. Santos', 'P. Piacsek', 'S. Mulitza', 'A.L.S. Albuquerque']",2022,10.1016/j.gloplacha.2022.103889
24,Climate of the Past,Climate of the Past,"['Alexandre Cauquoin', 'Ayako Abe-Ouchi', 'Takashi Obase', 'Wing-Le Chan', 'André Paul', 'Martin Werner']",2023,10.5194/cp-19-1275-2023
25,Climate of the Past,Climate of the Past,"['Mari F. Jensen', 'Aleksi Nummelin', 'Søren B. Nielsen', 'Henrik Sadatzki', 'Evangeline Sessford', 'Bjørg Risebrobakken', 'Carin Andersson', 'Antje Voelker', 'William H. G. Roberts', 'Joel Pedro', 'Andreas Born']",2018,10.5194/cp-14-901-2018
26,Nature Reviews Earth & Environment,Nature Reviews Earth & Environment,"['Lan Wang-Erlandsson', 'Arne Tobian', 'Ruud J. van der Ent', 'Ingo Fetzer', 'Sofie te Wierik', 'Miina Porkka', 'Arie Staal', 'Fernando Jaramillo', 'Heindriken Dahlmann', 'Chandrakant Singh', 'Peter Greve', 'Dieter Gerten', 'Patrick W. Keys', 'Tom Gleeson', 'Sarah E. Cornell', 'Will Steffen', 'Xuemei Bai', 'Johan Rockström']",2022,10.1038/s43017-022-00287-8
27,Ecological Modelling,Ecological Modelling,"['July A. Pilowsky', 'Andrea Manica', 'Stuart Brown', 'Carsten Rahbek', 'Damien A. Fordham']",2022,10.1016/j.ecolmodel.2022.110115
28,Current Climate Change Reports,Current Climate Change Reports,"['Samuel Albani', 'Yves Balkanski', 'Natalie Mahowald', 'Gisela Winckler', 'Valter Maggi', 'Barbara Delmonte']",2018,10.1007/s40641-018-0100-7
29,Climate of the Past,Climate of the Past,"['Masa Kageyama', 'Louise C. Sime', 'Marie Sicard', 'Maria-Vittoria Guarino', 'Anne de Vernal', 'Ruediger Stein', 'David Schroeder', 'Irene Malmierca-Vallet', 'Ayako Abe-Ouchi', 'Cecilia Bitz', 'Pascale Braconnot', 'Esther C. Brady', 'Jian Cao', 'Matthew A. Chamberlain', 'Danny Feltham', 'Chuncheng Guo', 'Allegra N. LeGrande', 'Gerrit Lohmann', 'Katrin J. Meissner', 'Laurie Menviel', 'Polina Morozova', 'Kerim H. Nisancioglu', 'Bette L. Otto-Bliesner', ""Ryouta O'ishi"", 'Silvana Ramos Buarque', 'David Salas y Melia', 'Sam Sherriff-Tadano', 'Julienne Stroeve', 'Xiaoxu Shi', 'Bo Sun', 'Robert A. Tomas', 'Evgeny Volodin', 'Nicholas K. H. Yeung', 'Qiong Zhang', 'Zhongshi Zhang', 'Weipeng Zheng', 'Tilo Ziehn']",2021,10.5194/cp-17-37-2021
30,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Tido Semmler', 'Sergey Danilov', 'Paul Gierz', 'Helge F. Goessling', 'Jan Hegewald', 'Claudia Hinrichs', 'Nikolay Koldunov', 'Narges Khosravi', 'Longjiang Mu', 'Thomas Rackow', 'Dmitry V. Sein', 'Dmitry Sidorenko', 'Qiang Wang', 'Thomas Jung']",2020,10.1029/2019MS002009
31,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Weipeng Zheng', 'Yongqiang Yu', 'Yihua Luan', 'Shuwen Zhao', 'Bian He', 'Li Dong', 'Mirong Song', 'Pengfei Lin', 'Hailong Liu']",2020,10.1007/s00376-020-9290-8
32,Climate Dynamics,Climate Dynamics,"['Lekshmi Mudra', 'T. P. Sabin', 'R. Krishnan', 'Francesco S. R. Pausata', 'Olivier Marti', 'Pascale Braconnot']",2022,10.1007/s00382-022-06629-y
33,Climate of the Past,Climate of the Past,"['Chris M. Brierley', 'Anni Zhao', 'Sandy P. Harrison', 'Pascale Braconnot', 'Charles J. R. Williams', 'David J. R. Thornalley', 'Xiaoxu Shi', 'Jean-Yves Peterschmitt', 'Rumi Ohgaito', 'Darrell S. Kaufman', 'Masa Kageyama', 'Julia C. Hargreaves', 'Michael P. Erb', 'Julien Emile-Geay', ""Roberta D'Agostino"", 'Deepak Chandan', 'Matthieu Carré', 'Partrick J. Bartlein', 'Weipeng Zheng', 'Zhongshi Zhang', 'Qiong Zhang', 'Hu Yang', 'Evgeny M. Volodin', 'Robert A. Tomas', 'Cody Routson', 'W. Richard Peltier', 'Bette Otto-Bliesner', 'Polina A. Morozova', 'Nicholas P. McKay', 'Gerrit Lohmann', 'Allegra N. Legrande', 'Chuncheng Guo', 'Jian Cao', 'Esther Brady', 'James D. Annan', 'Ayako Abe-Ouchi']",2020,10.5194/cp-16-1847-2020
34,Climate of the Past,Climate of the Past,"['Christian Stepanek', 'Eric Samakinwa', 'Gregor Knorr', 'Gerrit Lohmann']",2020,10.5194/cp-16-2275-2020
35,Earth System Dynamics,Earth System Dynamics,"['Shih-Wei Fang', 'Claudia Timmreck', 'Johann Jungclaus', 'Kirstin Krüger', 'Hauke Schmidt']",2022,10.5194/esd-13-1535-2022
36,Climate of the Past,Climate of the Past,"['Mark Reyers', 'Stephanie Fiedler', 'Patrick Ludwig', 'Christoph Böhm', 'Volker Wennrich', 'Yaping Shao']",2023,10.5194/cp-19-517-2023
37,The Cryosphere,The Cryosphere,"['Clara Burgard', 'Nicolas C. Jourdain', 'Ronja Reese', 'Adrian Jenkins', 'Pierre Mathiot']",2022,10.5194/tc-16-4931-2022
38,Geophysical Research Letters,Geophysical Research Letters,"['P. Braconnot', 'J. Crétat', 'O. Marti', 'Y. Balkanski', 'A. Caubel', 'A. Cozic', 'M.‐A. Foujols', 'S. Sanogo']",2019,10.1029/2019GL084797
39,Geoscientific Model Development,Geoscientific Model Development,"['Yoann Tellier', 'Cyril Crevoisier', 'Raymond Armante', 'Jean-Louis Dufresne', 'Nicolas Meilhac']",2022,10.5194/gmd-15-5211-2022
40,Climate of the Past,Climate of the Past,"['Chris Brierley', 'Ilana Wainer']",2018,10.5194/cp-14-1377-2018
41,Climate of the Past,Climate of the Past,"['Xiaoxu Shi', 'Martin Werner', 'Carolin Krug', 'Chris M. Brierley', 'Anni Zhao', 'Endurance Igbinosa', 'Pascale Braconnot', 'Esther Brady', 'Jian Cao', ""Roberta D'Agostino"", 'Johann Jungclaus', 'Xingxing Liu', 'Bette Otto-Bliesner', 'Dmitry Sidorenko', 'Robert Tomas', 'Evgeny M. Volodin', 'Hu Yang', 'Qiong Zhang', 'Weipeng Zheng', 'Gerrit Lohmann']",2022,10.5194/cp-18-1047-2022
42,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology,"['Margot J. Cramwinckel', 'Natalie J. Burls', 'Abdullah A. Fahad', 'Scott Knapp', 'Christopher K. West', 'Tammo Reichgelt', 'David R. Greenwood', 'Wing‐Le Chan', 'Yannick Donnadieu', 'David K. Hutchinson', 'Agatha M. de Boer', 'Jean‐Baptiste Ladant', 'Polina A. Morozova', 'Igor Niezgodzki', 'Gregor Knorr', 'Sebastian Steinig', 'Zhongshi Zhang', 'Jiang Zhu', 'Ran Feng', 'Daniel J. Lunt', 'Ayako Abe‐Ouchi', 'Gordon N. Inglis']",2023,10.1029/2022PA004542
43,Climate Dynamics,Climate Dynamics,"['Qiong Zhang', 'Ellen Berntell', 'Qiang Li', 'Fredrik Charpentier Ljungqvist']",2021,10.1007/s00382-021-05696-x
44,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['Ariane Burke', 'Matthew C. Peros', 'Colin D. Wren', 'Francesco S. R. Pausata', 'Julien Riel-Salvatore', 'Olivier Moine', 'Anne de Vernal', 'Masa Kageyama', 'Solène Boisard']",2021,10.1073/pnas.2108537118
